epoch,acc,loss,val_acc,val_loss
0,0.6337378621101379,0.6418141722679138,0.7172648906707764,0.5511736273765564
1,0.7275097966194153,0.5371989011764526,0.7726088166236877,0.4859902560710907
2,0.7712365984916687,0.4718185365200043,0.8109083771705627,0.4230400025844574
3,0.8012737035751343,0.42809006571769714,0.8113093972206116,0.41713955998420715
4,0.8220339417457581,0.39031070470809937,0.836976170539856,0.37780582904815674
5,0.8422926664352417,0.3581416606903076,0.8558251857757568,0.331760972738266
6,0.856634259223938,0.3272506594657898,0.8624423742294312,0.3212960660457611
7,0.8661618828773499,0.3073432147502899,0.8802887797355652,0.2952716052532196
8,0.8790492415428162,0.2801540195941925,0.8796871900558472,0.2794542610645294
9,0.8872731328010559,0.2625899016857147,0.8897132873535156,0.2583942115306854
10,0.8962993025779724,0.2469637095928192,0.902346134185791,0.2348262518644333
11,0.9016648530960083,0.2320530116558075,0.8851012587547302,0.2709280252456665
12,0.9129977226257324,0.21520598232746124,0.9037497639656067,0.22922778129577637
13,0.9152041077613831,0.20551636815071106,0.9019450545310974,0.24168679118156433
14,0.919466495513916,0.19543415307998657,0.9187888503074646,0.19841237366199493
15,0.9221242070198059,0.18683604896068573,0.920192539691925,0.1984899491071701
16,0.9288938045501709,0.17301015555858612,0.9047523736953735,0.24573980271816254
17,0.929044246673584,0.1725512444972992,0.9163826107978821,0.20323041081428528
18,0.9316518306732178,0.16443906724452972,0.9258071184158325,0.190297931432724
19,0.935914158821106,0.15599246323108673,0.9177862405776978,0.21775077283382416
20,0.9403771162033081,0.14503125846385956,0.9213956594467163,0.19947132468223572
21,0.9440377354621887,0.1407020539045334,0.9316222667694092,0.17427372932434082
22,0.9456925392150879,0.1359335482120514,0.9322237968444824,0.18147356808185577
23,0.9473974704742432,0.12977392971515656,0.9324243068695068,0.16913190484046936
24,0.9506569504737854,0.12694789469242096,0.932624876499176,0.16714303195476532
25,0.9512085318565369,0.12003237754106522,0.9302185773849487,0.1935516595840454
26,0.9546685814857483,0.11493091285228729,0.9360337257385254,0.1749105453491211
27,0.9559221863746643,0.11177042871713638,0.9372368454933167,0.1659126877784729
28,0.9590813517570496,0.10390952229499817,0.935231626033783,0.1680479496717453
29,0.9580784440040588,0.10370665788650513,0.9213956594467163,0.21156810224056244
30,0.9610370397567749,0.09968207776546478,0.9260076284408569,0.23383453488349915
31,0.9595326781272888,0.10317925363779068,0.9338279962539673,0.1791408360004425
32,0.9639454483985901,0.09448526799678802,0.9420493245124817,0.1598813533782959
33,0.9631932973861694,0.09103824198246002,0.9416483044624329,0.16904062032699585
34,0.9672049283981323,0.08355409651994705,0.9378383755683899,0.16708523035049438
35,0.9663023352622986,0.08639983832836151,0.9304190874099731,0.21282556653022766
36,0.9663023352622986,0.08428039401769638,0.9376378655433655,0.18549522757530212
37,0.9689098596572876,0.07833016663789749,0.9372368454933167,0.1665753424167633
38,0.969561755657196,0.07492373883724213,0.9324243068695068,0.20271804928779602
39,0.970765233039856,0.07444385439157486,0.9448566436767578,0.1546296924352646
40,0.9739243984222412,0.07049418985843658,0.941247284412384,0.1858755350112915
41,0.9700130820274353,0.07545838505029678,0.9450571537017822,0.17393022775650024
42,0.9724701642990112,0.07124713063240051,0.9354321360588074,0.20972223579883575
43,0.9732725024223328,0.06982903182506561,0.9380389451980591,0.20128758251667023
44,0.9746264219284058,0.06412794440984726,0.9468618631362915,0.17177647352218628
45,0.9745261669158936,0.06502889841794968,0.9348306059837341,0.2029714286327362
46,0.9754287600517273,0.06290790438652039,0.9386404752731323,0.18121741712093353
47,0.9767325520515442,0.05947090685367584,0.9360337257385254,0.21360674500465393
48,0.9769833087921143,0.06123889982700348,0.9432525038719177,0.21244248747825623
49,0.9793902635574341,0.05778665095567703,0.9394425749778748,0.18547174334526062
50,0.9803931713104248,0.05362795293331146,0.9408462047576904,0.1931818127632141
51,0.9794403910636902,0.05451304465532303,0.9460597634315491,0.18257930874824524
52,0.9795407056808472,0.05451170355081558,0.9416483044624329,0.18036259710788727
53,0.9786882400512695,0.05503273010253906,0.9436535239219666,0.16731680929660797
54,0.9814462065696716,0.05031820386648178,0.9462602734565735,0.16311953961849213
55,0.9811955094337463,0.04994470253586769,0.9346300363540649,0.2108047604560852
56,0.9813459515571594,0.049271419644355774,0.9420493245124817,0.18512892723083496
57,0.9804432988166809,0.052246224135160446,0.9460597634315491,0.1981554627418518
58,0.9827499985694885,0.04580964520573616,0.9448566436767578,0.20270922780036926
59,0.9823989868164062,0.046480536460876465,0.9388409852981567,0.19527652859687805
60,0.9835523366928101,0.044515468180179596,0.9442551136016846,0.20086786150932312
61,0.9839534759521484,0.0427635982632637,0.9474634528160095,0.1883029043674469
62,0.9842042326927185,0.04257211089134216,0.940645694732666,0.1989334374666214
